iso_code,year,gdp_constant,gdp_per_capita_constant,fk_country
ARM,2020,11941035821.9185,4032.09043454955,7
ARM,2021,12633615899.6682,4264.79961505187,7
ARM,2022,14225451502.9981,4791.00481712183,7
ASM,2002,744923664.122138,13054.6364326897,3
ASM,2003,752116030.534351,13201.7347516166,3
ASM,2004,755198473.282443,13291.5356626851,3
ASM,2005,752116030.534351,13284.2791128875,3
ASM,2006,721291603.053435,12794.7565021718,3
ASM,2007,734648854.961832,13092.3111393408,3
ASM,2008,715126717.557252,12809.4633079683,3
ASM,2009,685329770.992367,12342.0575384016,3
ASM,2010,687384732.824428,12446.3086265015,3
ASM,2011,687384732.824428,12521.8095058644,3
ASM,2012,657587786.259542,12068.2667374983,3
ASM,2013,641148091.603054,11871.7937192729,3
ASM,2014,652450381.679389,12203.0894714284,3
ASM,2015,673000000.0,12727.4102651386,3
ASM,2016,661697709.923664,12665.2829921268,3
ASM,2017,615461068.70229,11930.7771236826,3
ASM,2018,631900763.358779,12412.6024074562,3
ASM,2019,628818320.610687,12524.0160252283,3
ASM,2020,656560305.343511,13194.274740128,3
ASM,2021,651422900.763359,13233.5784817341,3
ASM,2022,662725190.839695,13709.0974895473,3
ATG,1977,387095908.993557,6061.4435657129,5
ATG,1978,404064146.194399,6309.7558667416,5
ATG,1979,436713652.379168,6794.56160156779,5
ATG,1980,472353897.204379,7321.8405159329,5
ATG,1981,490375108.400877,7583.31567928365,5
ATG,1982,489961962.35397,7562.89206381061,5
ATG,1983,516242438.3289,7950.26393459359,5
ATG,1984,568719298.605496,8765.44031635115,5
ATG,1985,612191037.523402,9477.96190681987,5
ATG,1986,682557487.247039,10619.1655866426,5
ATG,1987,727784182.824373,11381.2307700931,5
ATG,1988,765727808.265083,12035.3929909794,5
ATG,1989,805945565.043635,12727.1309126512,5
ATG,1990,830215153.179637,13164.2272092671,5
ATG,1991,848287550.612035,13382.6739017785,5
ATG,1992,858115307.90483,13323.9442876969,5
ATG,1993,903426095.155429,13774.4689520092,5
ATG,1994,963738105.684428,14417.9361441651,5
ATG,1995,921725174.48967,13517.2120795095,5
ATG,1996,982603889.773275,14115.4382832454,5
ATG,1997,1036364062.10708,14585.7889477865,5
ATG,1998,1085396819.93955,14989.1843884929,5
ATG,1999,1125640169.83605,15280.3215843951,5
ATG,2000,1195469164.08273,15958.3132753462,5
ATG,2001,1141098413.07784,15000.8336257587,5
ATG,2002,1152820061.09893,14965.4696892062,5
ATG,2003,1222875737.24746,15701.2446362213,5
ATG,2004,1293395745.6788,16430.5408564489,5
ATG,2005,1377129115.29174,17298.2265678329,5
ATG,2006,1552134855.83376,19256.3006281792,5
ATG,2007,1696721347.61236,20766.6864243165,5
ATG,2008,1696483697.23139,20461.2564795372,5
ATG,2009,1493533928.0477,17743.6223972972,5
ATG,2010,1376434444.94739,16132.6118723322,5
ATG,2011,1349473923.26693,15631.2134928755,5
ATG,2012,1394989455.46113,15986.5855542187,5
ATG,2013,1386609537.41236,15745.4753067356,5
ATG,2014,1417273748.87615,15966.5831000524,5
